guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
michaelsanders@shaw.net,False,BASIC,37.89,2020-12-27,2020-12-29,131.23,"49380 Rivers Street
Spencerville, AK 68265",4075084747483975747
randy49@brown.biz,False,BASIC,24.37,2020-12-30,2021-01-02,114.43,"88394 Boyle Meadows
Conleyberg, TN 22063",180072822063468
webermelissa@neal.com,True,DELUXE,0.0,2020-09-17,2020-09-18,368.33,"0323 Lisa Station Apt. 208
Port Thomas, LA 82585",38983476971380
gsims@terry.com,False,BASIC,,2020-12-28,2020-12-31,115.61,"77 Massachusetts Ave
Cambridge, MA 02139",4969551998845740
misty33@smith.biz,False,BASIC,16.45,2020-04-05,,122.41,"1234 Corporate Drive
Boston, MA 02116",3558512986488983
garciacarol@reid-crawford.biz,True,BASIC,0.0,2020-10-18,2020-10-20,177.76,"653 Brianna Mill
Burtonview, TX 66595",4701079720447404938
phillipsmatthew@powers-martinez.com,False,BASIC,19.56,2020-11-22,2020-11-24,108.09,"923 Bonilla Extension Apt. 787
Brianside, TN 20966",6011956907055260
michael86@mann-king.com,False,BASIC,15.23,2020-03-04,2020-03-05,111.12,"993 Rebecca Landing
Jesseburgh, PA 05072",4266279461142102517
mariaanderson@fitzpatrick.com,False,BASIC,,2020-01-06,2020-01-08,124.23,"2506 Christopher Lock
Lake Paul, IL 17894",4779208902549
aaron44@porter.com,False,BASIC,37.1,2020-01-22,2020-01-26,114.44,"48130 Dougherty Mews
Lake Brendaland, CO 39494",676384499254
courtney10@mack-mccormick.com,False,BASIC,14.55,2020-06-15,2020-06-16,106.09,"4084 Heather Locks Apt. 091
Blackwellport, GA 62060",3576959406725080
jeremyhunt@nguyen.com,False,BASIC,4.54,2020-10-23,2020-10-25,116.36,"PSC 3287, Box 9500
APO AP 41046",675991525725
pdavidson@sanchez-hughes.com,False,BASIC,8.15,2020-03-07,2020-03-09,114.03,"241 Castro Fields Suite 715
East Timothy, OH 09119",4092078584581
hwaters@sexton.net,False,BASIC,17.94,2020-08-12,2020-08-13,136.73,"56954 Montgomery Loop
Williamshire, NJ 43500",4483421863642
michael21@miller.com,True,BASIC,0.0,2020-10-01,2020-10-05,83.8,"PSC 3906, Box 8892
APO AE 45779",4253047975942
tamara85@baker.net,False,BASIC,9.76,2020-07-19,2020-07-21,109.97,"2189 Cooper Falls
Calderonstad, MS 74354",563273068871
erinnguyen@mcgee-cole.biz,False,DELUXE,12.87,2020-07-14,2020-07-16,238.52,"0323 Lisa Station Apt. 208
Port Thomas, LA 82585",3509825543444962
roberto53@diaz.com,False,BASIC,12.31,2020-03-02,2020-03-04,228.68,"3654 Michelle Neck
Ryanport, IA 84925",3559348543878898
andrew80@bush.com,False,DELUXE,17.7,2020-07-16,2020-07-19,179.43,"PSC 7238, Box 7911
APO AP 10973",2247314498652894
tiffanykrause@martinez-briggs.com,False,BASIC,7.56,2020-05-31,2020-06-02,138.28,"703 Edwards Orchard Apt. 348
North William, AL 38402",2290513662982427
jamieclark@gray-barnes.org,False,BASIC,13.74,2020-05-30,2020-06-01,107.53,"77 Massachusetts Ave
Cambridge, MA 02139",180065036602337
jessica28@payne-roach.info,False,BASIC,10.76,2020-10-13,2020-10-16,108.53,"1673 Perez Forge
Jacksonside, NM 58594",4670439786825211106
david92@nichols.com,False,BASIC,9.76,2020-05-22,2020-05-23,108.4,"480 David Greens Apt. 032
Dominicbury, OH 38657",4249793726653
ujones@potter.com,False,BASIC,3.77,2020-09-13,2020-09-17,113.16,"PSC 3287, Box 9500
APO AP 41046",4010294825813198
jerryblake@brooks.com,False,BASIC,26.47,2020-07-27,2020-07-30,154.4,"94102 Thomas Causeway
Villafurt, MN 40012",213108431357494
pwilliams@jenkins-cantrell.com,False,BASIC,14.03,2020-11-30,2020-12-01,140.95,"5805 Norris Radial Suite 023
West Stephen, RI 08085",30213206437256
hubbardryan@fowler.com,True,BASIC,0.0,2020-08-26,2020-08-27,101.31,"1234 Corporate Drive
Boston, MA 02116",4551878586989
glen69@thompson.com,True,BASIC,0.0,2020-07-05,2020-07-07,93.97,"77376 Brett Station Apt. 553
Port Sandyton, OK 99254",343863920293179
oparker@hendricks.info,False,BASIC,,2020-12-08,2020-12-10,120.15,"8302 Nathaniel Pike
Rileyland, TX 71613",571167792928
warnerlogan@martinez.com,False,BASIC,17.32,2020-11-05,2020-11-07,118.07,"5678 Office Road
San Francisco, CA 94103",4704147652368811480
kelly94@smith.com,True,DELUXE,0.0,2020-12-03,2020-12-06,184.39,"776 Parker Locks Suite 350
Pamelamouth, WY 15909",4104817616762
stephanie26@parker.com,False,BASIC,28.41,2020-05-05,2020-05-07,110.68,"430 Pacheco Way Suite 104
Codyville, OK 98583",2255876870833937
spencershawn@clark.com,False,BASIC,30.86,2020-11-14,2020-11-16,119.96,"5678 Office Road
San Francisco, CA 94103",4196831074465
michaelmitchell@perry.com,False,BASIC,7.92,2020-08-11,2020-08-15,118.15,"742 Walton Inlet Apt. 760
East John, OH 44121",4372475126552
oreyes@knapp-bowman.com,False,BASIC,32.68,2020-08-11,2020-08-13,119.06,"28037 Janice Causeway
Pierceshire, MO 81176",4484017750569544
joneshaley@smith.info,False,BASIC,13.02,2020-10-03,2020-10-05,125.77,"776 Parker Locks Suite 350
Pamelamouth, WY 15909",3563866109003415
ajenkins@smith-horton.org,False,BASIC,19.13,2020-07-12,2020-07-14,124.48,"64885 Tapia Passage Suite 661
South Williamburgh, UT 73113",379626111119090
destiny51@underwood.biz,False,BASIC,27.45,2020-01-28,2020-01-29,176.31,"PSC 6601, Box 6562
APO AE 40511",4026911632249
toddkaitlin@leon-collier.com,True,BASIC,0.0,2020-02-20,2020-02-23,98.41,"5678 Office Road
San Francisco, CA 94103",4942094262703149
stephanie54@ray.info,False,BASIC,9.51,2020-05-18,2020-05-19,195.73,"442 David View
Brittanyton, AR 48257",586471481935
kevin61@wagner.com,False,SUITE,,2020-01-21,2020-01-22,264.79,"5562 Andrews Burg Apt. 061
East Jacqueline, AR 85662",4506717789672128364
leslie70@taylor-davis.com,False,BASIC,,2020-09-13,,112.46,"4011 Butler Drive
Sharonview, MN 53592",4495106062613062000
grossnatalie@davis.com,False,DELUXE,15.64,2020-08-05,2020-08-06,197.21,"6535 Andre Mountain Suite 741
Melaniestad, VA 73781",2242995672400517
glynch@williams.com,False,BASIC,16.23,2020-07-04,2020-07-06,128.66,"40196 Smith Stravenue Suite 572
Greenshire, SC 67947",30277478142829
ogomez@vazquez.com,False,BASIC,6.68,2020-07-13,2020-07-16,126.3,"6403 Allen Dam
East Kevinburgh, NM 18948",4440004935964264
parker02@brooks-lee.com,False,BASIC,22.27,2020-09-06,2020-09-08,173.11,"82622 Christopher Skyway Apt. 066
Hopkinsview, SC 55350",4799286980280913
evansraymond@davis-rodriguez.com,False,BASIC,38.21,2020-05-20,2020-05-25,162.76,"PSC 8213, Box 6869
APO AP 90929",30145483229883
douglasayers@mcclain.net,False,BASIC,23.61,2020-05-11,2020-05-13,132.93,"77 Massachusetts Ave
Cambridge, MA 02139",30255137954032
wmonroe@stewart.com,False,BASIC,25.01,2020-06-26,2020-06-29,114.35,"12906 Gregory Creek
Obrienland, AK 14047",4821889109737689
nicholsonjoanne@watson.net,False,SUITE,27.51,2020-08-19,2020-08-23,268.16,"63517 Hernandez Squares Apt. 982
Davidview, NH 09163",30240040028009
hodgeskari@duffy.biz,True,DELUXE,0.0,2020-04-08,2020-04-11,222.55,"103 Marie Street
East Jonathan, OH 98726",2349865661751281
ibarradonald@williams-wade.info,False,BASIC,28.02,2020-06-09,2020-06-11,125.06,"5678 Office Road
San Francisco, CA 94103",3556805154473395
garciadarlene@ali.com,False,BASIC,32.25,2021-01-01,2021-01-05,105.42,"1234 Corporate Drive
Boston, MA 02116",4153708178750118
mackenzie40@hanson.com,False,DELUXE,28.18,2020-02-04,2020-02-09,185.08,"390 Robert Drives Suite 902
New Karen, AR 64353",180017311857920
andrewmartinez@white.com,False,BASIC,26.14,2020-09-13,2020-09-17,111.27,"4322 Wilson Squares
Matthewchester, HI 85123",4016023549459142452
sjones@cole.com,True,BASIC,0.0,2020-05-09,2020-05-10,143.57,"9324 Hernandez Rapid Apt. 929
East Erin, ID 77139",4847818679193
ylowe@evans.com,False,BASIC,11.62,2020-08-16,2020-08-19,118.04,"1234 Corporate Drive
Boston, MA 02116",2294477661503079
phillip50@murphy-lamb.info,False,BASIC,,2020-10-13,2020-10-15,292.5,"41459 Sarah Ranch
Floresview, ND 01693",180064426198428
christophercarter@murphy-matthews.com,False,SUITE,31.68,2020-06-05,2020-06-08,288.73,"USNS Rodriguez
FPO AP 12664",3556723727485418
russell00@meyer.com,False,SUITE,10.28,2020-03-10,2020-03-11,272.76,"PSC 2727, Box 8564
APO AP 86157",2669631248945594
thorntonbryan@johnson-hicks.org,False,DELUXE,22.87,2020-06-25,2020-06-26,187.99,"003 Schultz Extension
Williamport, IA 16397",3599849235456515
jonathan56@chandler.com,False,BASIC,28.04,2020-10-12,2020-10-13,153.1,"Unit 6443 Box 3520
DPO AP 62277",4462406877117731
holtebony@boyd.com,False,BASIC,28.45,2020-12-28,2020-12-29,115.79,"437 Margaret Ferry Suite 768
Scottport, RI 86472",349391012165075
joneskristin@taylor.com,False,BASIC,32.9,2020-01-09,2020-01-11,108.81,"1234 Corporate Drive
Boston, MA 02116",4461033775093730
nicole40@cherry.net,True,BASIC,0.0,2020-01-16,2020-01-17,115.45,"23146 Ramirez Cliffs Apt. 766
West Bobbyview, TX 19066",180095407605742
craiglawson@wilson.com,False,BASIC,23.72,2020-07-20,2020-07-21,120.34,"463 Simmons Forks
Port Eric, VA 11253",38651500078643
umercado@thomas.info,False,BASIC,,2020-06-14,2020-06-17,165.96,"8302 Nathaniel Pike
Rileyland, TX 71613",38416070843739
tatebethany@reynolds-sweeney.com,False,BASIC,20.5,2020-12-22,2020-12-24,118.66,"225 Helen Expressway Suite 021
Emilyburgh, DC 79691",2273379952126518
noahvargas@gallegos.net,False,SUITE,25.64,2020-01-05,2020-01-07,251.15,"0549 Lynn Hill
Simmonsland, MI 00790",372770926213149
allenpowell@cook.com,False,BASIC,28.73,2020-08-24,2020-08-27,144.23,"Unit 4836 Box 7023
DPO AP 35520",676148456368
sandra35@johnson.com,False,BASIC,9.1,2020-06-05,2020-06-07,103.07,"1234 Corporate Drive
Boston, MA 02116",38440331525190
gordonandrew@davis.com,False,BASIC,30.12,2020-05-16,2020-05-18,193.57,"71901 Jackson Rue
Patrickchester, OH 47113",213137436802238
qwilson@williams.com,False,BASIC,11.22,2020-09-27,2020-09-28,224.13,"77 Massachusetts Ave
Cambridge, MA 02139",213173894511136
brightjessica@evans.net,False,BASIC,24.93,2020-03-10,2020-03-12,113.1,"1234 Corporate Drive
Boston, MA 02116",3552531732620281
lance88@snow-rodriguez.net,False,DELUXE,27.41,2020-10-16,2020-10-19,181.27,"42400 Bryan View Apt. 310
Garciaside, NY 01999",213100856267969
