guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
dsullivan@example.net,False,BASIC,14.25,2020-05-23,2020-05-29,120.62,"90469 Karla Knolls Apt. 781
Susanberg, CA 70033",5161033759518983
steven59@example.org,False,BASIC,13.17,2021-01-07,2020-12-02,105.48,"6108 Carla Ports Apt. 116
Port Evan, MI 71694",4133047413145475690
brandon15@example.net,False,BASIC,5.02,2020-08-18,2020-08-28,214.07,"86709 Jeremy Manors Apt. 786
Port Garychester, NY 89396",4977328103788
humphreyjennifer@example.net,False,BASIC,17.03,2020-08-05,2020-11-15,119.64,"8906 Bobby Trail
East Sandra, NY 43986",3524946844839485
joshuabrown@example.net,False,SUITE,2.71,2021-01-07,2020-12-18,254.62,"732 Dennis Lane
Port Nicholasstad, DE 49786",4446905799576890978
moondavid@example.com,False,BASIC,0.47,2020-01-24,2020-01-23,129.73,"812 Kimberly Forges
East Brianafurt, TN 07793",4265310195602383
patty61@example.com,False,BASIC,17.24,2020-05-03,2020-04-26,131.0,"7999 Sheila Forges Apt. 089
West Briannahaven, DC 42402",30279530784085
michellehill@example.net,False,BASIC,,2020-11-05,2020-11-08,155.56,"0794 Bell Causeway Suite 830
Port Joseph, WV 87475",2285102384715773
loganosborne@example.org,False,BASIC,29.66,2020-08-23,2020-08-19,123.42,"436 Derek Walks Apt. 522
Davisburgh, OK 13124",3541571714584497
gkey@example.org,False,BASIC,12.91,2020-07-22,2020-07-22,126.59,"26077 Small Courts
Brandonshire, IN 30170",676377598427
maykimberly@example.com,False,SUITE,21.35,2020-05-05,2020-06-09,215.33,"1943 Jones Crossing Apt. 570
Christensenview, SD 23020",3592111594414982
josephknight@example.com,False,BASIC,29.01,2020-11-25,2020-12-13,130.89,"315 Padilla Ports Apt. 924
New William, OH 86954",4574626038921
